train_size,regime,AR_RMSE,RF_RMSE,XGB_RMSE,MLP_RMSE,SVR_RMSE
30,low_vol,0.070,0.039,0.046,0.070,0.040
45,low_vol,0.067,0.038,0.045,0.067,0.039
60,low_vol,0.068,0.038,0.044,0.068,0.039
75,low_vol,0.067,0.038,0.043,0.067,0.038
90,low_vol,0.069,0.037,0.043,0.069,0.038
