train_size,rmse_ols,rmse_rf,rmse_xgb
10,10.8027932127441,0.046972512604802785,0.05196973499058139
11,0.310278836900261,0.04672345934033008,0.05112584533048881
12,0.1665324621439792,0.046457456909737356,0.05053877108176737
13,0.11509890405398297,0.046568570084480704,0.050024388950826955
14,0.09638966478833953,0.046243090597669984,0.050109745187132994
15,0.08521108447133631,0.0465790485407583,0.04958004486394698
16,0.07758591098958596,0.046348652794977775,0.04950225039089529
17,0.07288183875594825,0.046192859983050706,0.049777614285324186
18,0.06895395524074516,0.04585782265053311,0.048898349856564646
19,0.0659620171815046,0.04603707982252716,0.048437735194291204
20,0.06464897736860122,0.04609675155088236,0.049026327771644326
21,0.06266014333941347,0.04576544803878231,0.04891924999079625
22,0.06138483248410019,0.04592338933632837,0.048185686943620215
23,0.05973882709146566,0.045645854220530836,0.0487539958811498
24,0.058844471680533694,0.045994545771643684,0.04824724090028762
25,0.057842201055744114,0.04574555839224868,0.048399345648778826
26,0.05722506465886053,0.0458145948814103,0.04808173024949821
27,0.056607243214052416,0.04569687580295741,0.048091282921157524
28,0.05655371634873778,0.045421864047213135,0.04800375218882125
29,0.055536210297551784,0.0456207186766703,0.04779755521018189
30,0.05456606541220954,0.045583725275904104,0.048037115236465984
31,0.05395956964904986,0.04556217994802822,0.048269645226208586
32,0.052760365088793365,0.0455082851108346,0.04780644959081789
33,0.05233150262411738,0.04555880218923903,0.047557695981852846
34,0.05220117891755884,0.04547185364505157,0.047676249515819204
35,0.05217852457955982,0.045496596942409186,0.047676097643177796
36,0.051931341751813125,0.04545111144472536,0.04778278688684871
37,0.051198441320342694,0.04555160098386835,0.04771767313466917
38,0.05075706735296838,0.0454715264478006,0.047518821117761866
39,0.05042394759378983,0.04560465056349187,0.047637129503797525
40,0.050053819473346896,0.04567998236026405,0.047777301604950716
41,0.04960121125550485,0.04554846748516846,0.04745715995713377
42,0.04939892859206416,0.045542748851836,0.047576819847501894
43,0.04919624725576841,0.04529010558413045,0.04742563261122465
44,0.04890096178249425,0.04524892265298195,0.047333522425626155
45,0.0485186755983584,0.0452116002420271,0.04756370071536933
46,0.048412486564564254,0.045294933490841724,0.04750847556321161
47,0.04813851961506092,0.045309201886871306,0.04774405498229533
48,0.04798982626687386,0.04533409363573123,0.04734711997432375
49,0.04784285426203342,0.04528925796589663,0.047565392503937154
50,0.04731631942714405,0.045091518485543915,0.04730528639747968
51,0.047111368849509436,0.045206500909446425,0.047412967500795336
52,0.04709506189205605,0.04509391648666162,0.04717343487349
53,0.04710905424036031,0.04532961302034626,0.04719139245015733
54,0.04706950669923056,0.04539392578837099,0.047181219228503664
55,0.0469252265757905,0.04508161526012017,0.04737689300894888
56,0.046785708083924356,0.04515169556920917,0.04690989836254722
57,0.04666861375546854,0.04520031849170193,0.0470613339532689
58,0.0465101047162828,0.045339457907403305,0.0475741195431943
59,0.046150705243185264,0.04503544249716113,0.04744663126775023
60,0.04597444691790502,0.04504975376361163,0.047088413464614204
61,0.045743049214004586,0.0450403385767935,0.04700986604721228
62,0.04562638101234699,0.0452851415306033,0.047159646641720045
63,0.045472757801064086,0.04528169461942881,0.04738552170418196
64,0.045312756087049225,0.04527124918596693,0.047230882917483126
65,0.045165745789614783,0.0453428474458078,0.04724864287863732
66,0.04508788883781674,0.045517291800728894,0.047730072018134985
67,0.045096154610609326,0.045220557428619836,0.04743268202117225
68,0.04500523092765654,0.045442236741950456,0.047545609045952876
69,0.044906561862528026,0.04523364303592369,0.047110781454326386
70,0.0449170787017099,0.04544207400745949,0.04750694392443046
