train_size,rmse_ols,rmse_rf,rmse_xgb
10,8.72308913317015,0.04713584958411211,0.05210614033973398
11,0.4288643152193015,0.04669043023041599,0.05085087291056434
12,0.18140209092527712,0.046541106466138446,0.050651986192230936
13,0.12913367946395668,0.046846017162610526,0.04996397318058221
14,0.1097761325064122,0.046445973521082436,0.05009542323159252
15,0.08945062325901641,0.04679958207582109,0.04979368217063652
16,0.08166337022293918,0.04626933589945791,0.04969635406978152
17,0.07701377766406517,0.04636976009828709,0.049954809738093964
18,0.07133470968829678,0.04598010575420848,0.0495578833506961
19,0.06874719301523644,0.04604827515400471,0.04902995350990605
20,0.06779765098556262,0.04624859825130981,0.04907143891660396
21,0.06489426054993183,0.04569372757176819,0.04901213238701391
22,0.06263329886039713,0.045990029993597976,0.04827278743676098
23,0.05988815659020805,0.04569037812198876,0.04872701734119442
24,0.058833903514978726,0.046052195338505166,0.048119330482144264
25,0.057796214980769825,0.04580280614179334,0.048534350739308396
26,0.05703239233375103,0.04596491449996994,0.048231942171775684
27,0.05629815758361773,0.04560147251768149,0.04796674236127245
28,0.056177680754200696,0.0456027824480928,0.04810054919613555
29,0.05500489675042699,0.045689885823943545,0.04753172404126112
30,0.05400485683285851,0.045491939271772835,0.04813054201812528
31,0.053290491489802194,0.04540423551332728,0.04820739853943423
32,0.051938436236310316,0.04543262562149776,0.04793515540635577
33,0.05149292154740654,0.04542905889742372,0.047526894095020714
34,0.051338099942334785,0.045466735302523424,0.047803355656439395
35,0.05125049802573443,0.04538674880256099,0.04769378871827682
36,0.050714489766237866,0.04534768641867603,0.04743457663271838
37,0.0499870634967128,0.04530054480836508,0.04774306804119909
38,0.04952199231442787,0.04543834378355407,0.04775224790649653
39,0.049122183212869555,0.045658935694139785,0.04751747064278463
40,0.04890624153597041,0.045472568468363894,0.04751472504701145
41,0.0486206432206227,0.04558632812243372,0.04764366271529551
42,0.04843551354556538,0.04549534666678083,0.04746438695787356
43,0.048130312855588,0.04512899979997406,0.04734615145593676
44,0.0478640155354162,0.045069403039776974,0.04745811061446403
45,0.04738730167532433,0.04495698273097641,0.047508128612315
46,0.04723606047828356,0.04522515877076019,0.04736949425497784
47,0.0471368020889014,0.045199131015206555,0.047247225633128755
48,0.04700945940961551,0.04515397307562415,0.047011276506098085
49,0.04689981251469978,0.045118531859686596,0.04728200769050599
50,0.04642040761201665,0.0449091493235122,0.04707256556346447
51,0.046311993589160154,0.04510506073877838,0.04711682399276369
52,0.04627606352474926,0.04486849020114426,0.04678335494033145
53,0.046252841162390056,0.04512052722546483,0.04719244305006014
54,0.046290967534869616,0.045326099475492376,0.04716169830422643
55,0.04617866333831406,0.04495695338150195,0.04724770683950755
56,0.046085910490862,0.04512614653323266,0.04672509972360307
57,0.04604774065997934,0.04517672682545524,0.04701318066420977
58,0.045939885683384515,0.04504068802827931,0.04758546798615136
59,0.04572885759711804,0.04479777695692124,0.047361582848746864
60,0.04557435081408848,0.044982108401440464,0.047085247055255505
61,0.045348717900300685,0.044946087665043426,0.0469415309911166
62,0.0453172303414975,0.04518849048566598,0.04689231776956161
63,0.04530541049596618,0.04521098568316881,0.04713217459350106
64,0.045203589925980774,0.045432093744080033,0.04707528807635891
65,0.045053437856230526,0.0454194309123171,0.0473089008331378
66,0.04496506554159428,0.045622846373262395,0.04738829142605439
67,0.044957960598293205,0.04519261291525731,0.04687618137584706
68,0.044837122568435625,0.04524289555431932,0.0474375213755647
69,0.044713288801979674,0.04532054970278447,0.04686497393669655
70,0.04473156779172902,0.04533143404754825,0.0473422355380554
