train_size,rmse_ols,rmse_rf,rmse_xgb
10,47.355683952938406,0.04744489275962309,0.05257636091733192
11,0.3032531921652835,0.04694991521978626,0.051148962005795495
12,0.1878293360141478,0.046820729021468506,0.051280656407535465
13,0.13036714407463193,0.047041635877963776,0.05067851843275865
14,0.10582002727266422,0.04654962700247687,0.050247060681180275
15,0.08857441076495219,0.046885238417347624,0.05002597658529476
16,0.07943092954096143,0.046611206277017266,0.050144745943759554
17,0.07396807055077219,0.04681385729363315,0.050558413969283296
18,0.06976927997499881,0.04634747437915499,0.04982792223633973
19,0.06724857938795119,0.04647789721965632,0.049404655699089514
20,0.06601477981974276,0.04665133043725494,0.05001927547346209
21,0.06379287934855465,0.046201068851238584,0.04936189802891799
22,0.06224300387259304,0.046321377781820716,0.04884368467641244
23,0.06042375879054179,0.04612803680251166,0.049631777007183804
24,0.05931754237933514,0.04644615240896879,0.04877071147191401
25,0.058111764744643656,0.04608936570656868,0.04891963963699772
26,0.057113247002626044,0.04609540028231194,0.0486466611122051
27,0.056283738745764395,0.0458004438730019,0.048157995850949264
28,0.05616026706626312,0.04577834822001975,0.048307671026868795
29,0.05519331729720107,0.045718549302306,0.04809022263682942
30,0.05428377054224375,0.045730232881239764,0.048632810507392654
31,0.053436563197927237,0.04561035305519573,0.04873842519269916
32,0.05225852765593361,0.0455680912223477,0.04840501139710283
33,0.05193434308146872,0.04561523396171745,0.048019166689864966
34,0.05163139899815856,0.04569085312275845,0.04780679842926681
35,0.051511192814275804,0.04573241488320391,0.04802952680092749
36,0.05109444589242013,0.045570705530757316,0.04782746282465596
37,0.050418447193378825,0.045499749218180875,0.04802838124130467
38,0.049906385813767946,0.04559163028164498,0.04780852636742836
39,0.04941687151715941,0.04550820816832017,0.04792980610195201
40,0.04913959207490707,0.04566475568194038,0.047603772112756716
41,0.048861802770032686,0.04558236620203472,0.047546164573844966
42,0.04861792348508081,0.04555083652865476,0.047548979074881224
43,0.048419125312484976,0.04547646911343585,0.04766575683248848
44,0.04804139190659378,0.0453150114520708,0.047735063641137825
45,0.04751643141944225,0.04528950861958057,0.04776978689215483
46,0.047400825218597765,0.0455228411972345,0.04734561333463324
47,0.04720160252144679,0.045388186704557916,0.047743032044426384
48,0.047091264020219965,0.04550949523649116,0.0473083683115228
49,0.04698121214136226,0.04545579361562357,0.04765481419356044
50,0.0465826342383326,0.04515853533885857,0.04759128747158074
51,0.04639826876194932,0.04522370798822227,0.047241523735318904
52,0.04639299025493168,0.04524800024678254,0.046932478215246855
53,0.0464215722468343,0.04540071934507551,0.04724315818365244
54,0.046419403953242004,0.04552137735490357,0.047179003913590783
55,0.04627050771667568,0.045217538042367174,0.047654886145456404
56,0.046137098000208154,0.045427324460040386,0.04698504003181157
57,0.04601063534808676,0.04552973047268266,0.0472367276912584
58,0.04584723014276661,0.04511445059843398,0.04742759247357877
59,0.04560287075038653,0.045017736287326006,0.04716473427590252
60,0.04546095334870687,0.04507694459877848,0.04704639104218029
61,0.045226543111941596,0.045077233185558924,0.047072046986859996
62,0.04519834940726143,0.045311546038846615,0.04724925620075581
63,0.045205329252370106,0.045216174314761826,0.04722889659880269
64,0.04509030818535932,0.04549494109186318,0.047057570919743774
65,0.0448946128285038,0.045484270389644275,0.04739713220574518
66,0.044787930927432267,0.045756862831354515,0.04715558157699442
67,0.04478239279552275,0.04534794134933196,0.047185832441561125
68,0.04463152196561889,0.04537198685303744,0.047373465074844016
69,0.044553218318504485,0.045364149030118844,0.04689817123799816
70,0.04460695576807584,0.04566684363797293,0.047456431940745475
