model,feature,train_size,DM_stat,p_value,significant_5pct
rf,HashRate,60,-0.1097,0.9126,False
rf,HashRate,75,1.0094,0.3129,False
rf,HashRate,90,0.278,0.7811,False
rf,RevUSD,30,-2.2851,0.0224,True
rf,RevUSD,45,-0.3081,0.7581,False
rf,RevUSD,60,-0.328,0.743,False
rf,RevUSD,75,0.9436,0.3455,False
rf,RevUSD,90,0.5373,0.5911,False
rf,TxTfrValAdjUSD,30,-2.2775,0.0229,True
rf,TxTfrValAdjUSD,45,-1.5092,0.1314,False
rf,TxTfrValAdjUSD,60,0.4043,0.686,False
rf,TxTfrValAdjUSD,75,-0.0058,0.9953,False
rf,TxTfrValAdjUSD,90,0.0982,0.9218,False
rf,URTH,30,-1.9966,0.046,True
rf,URTH,45,0.4989,0.6179,False
rf,URTH,60,0.1154,0.9082,False
rf,URTH,75,0.9295,0.3527,False
rf,URTH,90,0.6441,0.5196,False
rf,^GSPC,30,-1.2342,0.2173,False
rf,^GSPC,45,-1.0778,0.2812,False
rf,^GSPC,60,0.356,0.7219,False
rf,^GSPC,75,-0.0795,0.9366,False
rf,^GSPC,90,-0.0565,0.9549,False
rf,Risk_Free,30,-1.5122,0.1306,False
rf,Risk_Free,45,-0.9578,0.3383,False
rf,Risk_Free,60,-0.7394,0.4598,False
rf,Risk_Free,75,1.3897,0.1648,False
rf,Risk_Free,90,-0.8784,0.3798,False
rf,OAS,30,-2.0302,0.0425,True
rf,OAS,45,0.8682,0.3854,False
rf,OAS,60,0.9219,0.3567,False
rf,OAS,75,0.906,0.365,False
rf,OAS,90,1.0411,0.298,False
rf,Ten_Year,30,-1.7684,0.0771,False
rf,Ten_Year,45,-1.9234,0.0546,False
rf,Ten_Year,60,-0.2298,0.8183,False
rf,Ten_Year,75,-1.2135,0.2251,False
rf,Ten_Year,90,0.9112,0.3623,False
rf,Two_Year,30,-1.0071,0.314,False
rf,Two_Year,45,-1.1919,0.2334,False
rf,Two_Year,60,0.0698,0.9444,False
rf,Two_Year,75,0.3066,0.7591,False
rf,Two_Year,90,-0.0206,0.9835,False
rf,Term_Spread,30,-1.4208,0.1555,False
rf,Term_Spread,45,-0.8509,0.3949,False
rf,Term_Spread,60,0.0909,0.9275,False
rf,Term_Spread,75,1.3436,0.1792,False
rf,Term_Spread,90,0.8827,0.3775,False
rf,VIX,30,-1.4665,0.1427,False
rf,VIX,45,-0.4683,0.6396,False
rf,VIX,60,1.6822,0.0927,False
rf,VIX,75,0.0621,0.9505,False
rf,VIX,90,0.9926,0.321,False
rf,USD_Index,30,-2.2061,0.0275,True
rf,USD_Index,45,-1.7481,0.0806,False
rf,USD_Index,60,-1.2656,0.2058,False
rf,USD_Index,75,-0.4975,0.6189,False
rf,USD_Index,90,-0.3211,0.7482,False
rf,Expected_Inflation,30,-1.723,0.085,False
rf,Expected_Inflation,45,-0.5205,0.6028,False
rf,Expected_Inflation,60,1.2638,0.2064,False
rf,Expected_Inflation,75,0.0825,0.9342,False
rf,Expected_Inflation,90,0.1833,0.8545,False
rf,US_News_Sentiment,30,-2.4597,0.014,True
rf,US_News_Sentiment,45,0.2017,0.8402,False
rf,US_News_Sentiment,60,0.3893,0.6971,False
rf,US_News_Sentiment,75,0.6915,0.4893,False
rf,US_News_Sentiment,90,1.218,0.2234,False
xgb,BlkCnt,30,0.7045,0.4812,False
xgb,BlkCnt,45,0.4839,0.6285,False
xgb,BlkCnt,60,-0.0565,0.9549,False
xgb,BlkCnt,75,-0.087,0.9307,False
xgb,BlkCnt,90,-0.5154,0.6063,False
xgb,BlkSizeMeanByte,30,-1.4555,0.1457,False
xgb,BlkSizeMeanByte,45,0.6147,0.5388,False
xgb,BlkSizeMeanByte,60,0.2801,0.7794,False
xgb,BlkSizeMeanByte,75,1.1488,0.2508,False
xgb,BlkSizeMeanByte,90,0.4802,0.6311,False
xgb,DiffMean,30,-0.731,0.4649,False
xgb,DiffMean,45,-1.4989,0.134,False
xgb,DiffMean,60,-1.6338,0.1024,False
xgb,DiffMean,75,-1.5809,0.114,False
xgb,DiffMean,90,-0.4582,0.6468,False
xgb,FeeMeanUSD,30,0.2223,0.8241,False
xgb,FeeMeanUSD,45,1.2193,0.2228,False
xgb,FeeMeanUSD,60,1.9898,0.0467,True
