Date,BlkCnt,BlkSizeMeanByte,DiffMean,FeeMeanUSD,HashRate,PriceUSD,RevUSD,TxTfrValAdjUSD,URTH,^GSPC,Risk_Free,OAS,Ten_Year,Two_Year,Term_Spread,VIX,USD_Index,Expected_Inflation,US_News_Sentiment,target_col,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6
2017-01-08,167,-0.18685821535530955,-3.1086244689504383e-15,0.3203240707363134,0.2101449275362337,0.00999687931410187,0.2008828371035638,-0.25830700226912295,0.0,0.0,0.0,3.98,0.0,0.0,0.0,11.32,0.0,0.0,0.2991060614585876,-0.009837236013129136,0.00999687931410187,0.012313469833572732,-0.10798038513671526,-0.11811259257086215,0.09866986140982359,0.015270381263491117,0.019875038227254116
2017-01-09,136,0.16155708317848538,3.1086244689504383e-15,0.344368394559263,-0.1856287425149714,-0.009837236013129136,-0.17943182375936872,0.47669216204099696,-0.004947123605539616,-0.0035485942758867184,-0.020000000000000018,4.02,-0.016528925619834767,-0.008196721311475419,-0.030000000000000027,11.56,0.0005204922707742199,-0.005102040816326481,0.3017208874225616,0.0033096313361595797,-0.009837236013129136,0.00999687931410187,0.012313469833572732,-0.10798038513671526,-0.11811259257086215,0.09866986140982359,0.015270381263491117
2017-01-10,160,0.025887955379635175,0.00755910997236553,0.3340228716811604,0.1853636587910199,0.0033096313361595797,0.17785415956111472,-0.05660478270324287,0.0014780242442449243,0.0,0.010000000000000009,4.0,0.0,-0.016528925619834767,0.020000000000000018,11.49,0.0010767571621241867,0.0,0.2908031046390533,-0.13037443865501797,0.0033096313361595797,-0.009837236013129136,0.00999687931410187,0.012313469833572732,-0.10798038513671526,-0.11811259257086215,0.09866986140982359
2017-01-11,153,-0.03165845583896976,0.05251678961845241,0.2907370319619841,0.006469180072646186,-0.13037443865501797,-0.16879552638822504,0.15533805142983548,0.0006708592111916989,0.0028296382793233654,0.0,4.03,0.0,0.008403361344537785,-0.010000000000000009,11.26,0.004077152927400851,0.02051282051282044,0.2891635596752167,0.023842227737558286,-0.13037443865501797,0.0033096313361595797,-0.009837236013129136,0.00999687931410187,0.012313469833572732,-0.10798038513671526,-0.11811259257086215
2017-01-12,172,-0.15115105005801144,0.0,0.2886662501811857,0.12418300653594794,0.023842227737558286,0.13894300947526128,-0.16799594481053026,0.002011464983675104,-0.0021448089967596173,0.0,4.05,-0.008403361344537785,-0.01666666666666672,0.0,11.54,-0.010265337723561863,-0.005025125628140725,0.2653159201145172,0.0243301382872807,0.023842227737558286,-0.13037443865501797,0.0033096313361595797,-0.009837236013129136,0.00999687931410187,0.012313469833572732,-0.10798038513671526
2017-01-13,150,0.09139506824096699,0.0,0.2934651659753245,-0.12790697674418583,0.0243301382872807,-0.10232488186287148,-0.13382676463975318,0.002810138221209124,0.0018498402425362048,0.010000000000000009,4.02,0.016949152542372836,0.025423728813559254,0.010000000000000009,11.23,0.0015984706294815965,0.005050505050504972,0.2627244889736175,-0.008106192974205562,0.0243301382872807,0.023842227737558286,-0.13037443865501797,0.0033096313361595797,-0.009837236013129136,0.00999687931410187,0.012313469833572732
2017-01-14,172,-0.1344486331509802,0.0,0.294870282385565,0.14666666666666628,-0.008106192974205562,0.1243847626321466,-0.27803976636513716,0.0,0.0,0.0,4.02,0.0,0.0,0.0,11.23,0.0,0.0,0.2627244889736175,0.005489829249250011,-0.008106192974205562,0.0243301382872807,0.023842227737558286,-0.13037443865501797,0.0033096313361595797,-0.009837236013129136,0.00999687931410187
2017-01-15,167,-0.11151458374038736,0.0,0.2869732747228528,-0.02906976744186096,0.005489829249250011,-0.026318578782457913,-0.0551905396149065,0.0,0.0,0.0,4.02,0.0,0.0,0.0,11.23,0.0,0.0,0.2627244889736175,0.007629606806461853,0.005489829249250011,-0.008106192974205562,0.0243301382872807,0.023842227737558286,-0.13037443865501797,0.0033096313361595797,-0.009837236013129136
2017-01-16,169,0.17475313397206982,0.0,0.3227559853148285,0.0119760479041926,0.007629606806461853,0.031724374356329355,0.42430378877880415,0.0,0.0,0.0,4.02,0.0,0.0,0.0,11.23,0.0,0.0,0.2627244889736175,0.09049753366060154,0.007629606806461853,0.005489829249250011,-0.008106192974205562,0.0243301382872807,0.023842227737558286,-0.13037443865501797,0.0033096313361595797
2017-01-17,158,0.1518521409119451,0.0,0.3385000076808089,-0.06508875739644959,0.09049753366060154,0.023529906938768663,0.24954593979260875,-0.0028022634735163088,-0.0029675026899970147,0.020000000000000018,4.06,-0.029166666666666563,-0.03305785123966942,-0.030000000000000027,11.87,-0.006126025948313463,-0.01005025125628145,0.3070167303085327,-0.02733584919631049,0.09049753366060154,0.007629606806461853,0.005489829249250011,-0.008106192974205562,0.0243301382872807,0.023842227737558286,-0.13037443865501797
2017-01-18,150,0.00947797185247956,0.0,0.3186173633980361,-0.05063291139240533,-0.02733584919631049,-0.07351928151135789,-0.06464854047951973,-0.0025427252697328706,0.0017637540575008437,-0.020000000000000018,4.01,0.03862660944205998,0.05128205128205132,0.030000000000000027,12.48,0.003910780314090312,0.015228426395939021,0.3165286183357239,0.023834122720227002,-0.02733584919631049,0.09049753366060154,0.007629606806461853,0.005489829249250011,-0.008106192974205562,0.0243301382872807,0.023842227737558286
