train_size,forecast_ols,forecast_rf,forecast_xgb,forecast_svr,forecast_mlp
30,0.0626,0.0445,0.0503,0.0458,0.0737
45,0.0638,0.0438,0.048,0.0449,0.0705
60,0.0629,0.0438,0.048,0.0451,0.0717
75,0.0637,0.0439,0.0478,0.0446,0.0713
90,0.0655,0.0435,0.0473,0.0445,0.0684
