Date,PriceUSD,BlkCnt,FeeMeanUSD,DiffMean,BlkSizeMeanByte,RevUSD,TxTfrValAdjUSD,HashRate,URTH,^GSPC,Risk_Free,OAS,Ten_Year,Two_Year,Term_Spread,VIX,USD_Index,Expected_Inflation,US_News_Sentiment
2017-01-01,0.02919258958478066,0.22821238010768793,-0.33283745014695537,-3.1086244689504383e-15,-0.11584006999861107,0.075550310415337,-0.15363274354993162,0.054054054054055056,0.0,0.0,0.0,-0.34586135459463935,0.0,0.0,0.0,-0.5422779727700943,0.0,0.0,1.5022410308616858
2017-01-02,0.019875038227254116,0.3893057962268733,-0.3323391374315921,0.0,0.321406363862732,0.059646913740152074,0.5154739425273123,0.019230769230767608,0.0,0.0,0.0,-0.34586135459463935,0.0,0.0,0.0,-0.5422779727700943,0.0,0.0,1.5022410308616858
2017-01-03,0.015270381263491117,0.6577948230921823,-0.3275765624956522,0.0,-0.01760804888311407,0.051985466668909686,0.1661491220235074,0.03144654088050158,0.009304989195076496,0.008486575281279274,0.030000000000000027,-0.4144821780452329,0.0,0.016666666666666607,-0.020000000000000018,-0.7135738825185207,0.006284084206897411,0.01538461538461533,1.6168773473718643
2017-01-04,0.09866986140982359,0.06711896398850258,-0.2798788042122522,3.1086244689504383e-15,0.07496916265915732,0.06345104387256062,0.3137982805645836,-0.06707317073170671,0.008541162710555161,0.005722273788525856,-0.010000000000000009,-0.5088358102897993,0.004081632653061051,0.016393442622950838,-0.010000000000000231,-0.8575200251642573,-0.00176336779737718,0.005050505050504972,1.6812502452219085
2017-01-05,-0.11811259257086215,-0.6309525058613007,-0.32867306758360026,0.0,-0.0024207978152518406,-0.21699779454789858,0.13232378277300016,-0.08496732026143738,0.003360608802126519,-0.0007706704833204681,-0.010000000000000009,-0.4916806044271505,-0.03658536585365846,-0.05645161290322587,-0.019999999999999796,-0.8834303308404898,-0.007405768659735967,-0.02010050251256279,1.7290347337594587
2017-01-06,-0.10798038513671526,0.49670140697299686,-0.3430475970373482,-3.1086244689504383e-15,0.0010513944213301762,0.021677290261643556,-0.23553562325735866,0.15000000000000036,0.0020098481733052953,0.0035169592193697863,0.010000000000000009,-0.5431462220150957,0.021097046413502074,0.042735042735042805,-2.220446049250313e-16,-0.9338114807664976,0.0029627143751818075,0.00512820512820511,1.826789546590056
2017-01-07,0.012313469833572732,-0.7383481166074243,-0.3401625095149895,3.1086244689504383e-15,0.002512708840444189,-0.13297476939380115,-0.21913743390516305,-0.14285714285714346,0.0,0.0,0.0,-0.5431462220150957,0.0,0.0,0.0,-0.9338114807664976,0.0,0.0,1.826789546590056
2017-01-08,0.00999687931410187,0.8188882392113676,-0.34416783581358673,-3.1086244689504383e-15,-0.18685821535530955,0.2008828371035638,-0.25830700226912295,0.2101449275362337,0.0,0.0,0.0,-0.5431462220150957,0.0,0.0,0.0,-0.9338114807664976,0.0,0.0,1.826789546590056
2017-01-09,-0.009837236013129136,-0.8457437273535479,-0.33963605689432425,3.1086244689504383e-15,0.16155708317848538,-0.17943182375936872,0.4766921620409972,-0.1856287425149714,-0.004947594895554297,-0.0035485942758867184,-0.020000000000000018,-0.5088358102897993,-0.016528925619834767,-0.008196721311475419,-0.030000000000000027,-0.8992644065315207,0.0005204922707742199,-0.005102040816326481,1.8417788316416928
2017-01-10,0.0033096313361595797,0.44300360159993507,-0.34158594006978643,0.00755910997236553,0.025887955379635175,0.17785415956111472,-0.056604782703243206,0.1853636587910199,0.001478498989793131,0.0,0.010000000000000009,-0.5259910161524473,0.0,-0.016528925619834767,0.020000000000000018,-0.9093406365167224,0.0010767571621241867,0.0,1.77826726878363
2017-01-11,-0.13037443865501797,0.06711896398850258,-0.34974428369327015,0.05251678961845241,-0.03165845583896976,-0.16879552638822504,0.1553380514298357,0.006469180072646186,0.0006707407518333763,0.0028296382793233654,0.0,-0.5002582073584745,0.0,0.008403361344537785,-0.010000000000000009,-0.9424482493252418,0.004077152927400851,0.02051282051282044,1.7697847832334255
2017-01-12,0.023842227737558286,1.0873772660766765,-0.35013457644135143,0.0,-0.15115105005801144,0.13894300947526128,-0.16799594481053026,0.12418300653594794,0.002011346683082005,-0.0021448089967596173,0.0,-0.48310300149582647,-0.008403361344537785,-0.01666666666666672,0.0,-0.9021433293844356,-0.010265337723561863,-0.005025125628140725,1.6315789399145466
2017-01-13,0.0243301382872807,-0.09397445213068278,-0.3492300958000436,0.0,0.09139506824096699,-0.10232488186287148,-0.13382676463975318,-0.12790697674418583,0.0028100204898557912,0.0018498402425362048,0.010000000000000009,-0.5088358102897993,0.016949152542372836,0.025423728813559254,0.010000000000000009,-0.9467666336046139,0.0015984706294815965,0.005050505050504972,1.6149995917834379
2017-01-14,-0.008106192974205562,1.0873772660766765,-0.3489652650244341,0.0,-0.1344486331509802,0.12438476263214637,-0.27803976636513716,0.14666666666666628,0.0,0.0,0.0,-0.5088358102897993,0.0,0.0,0.0,-0.9467666336046139,0.0,0.0,1.6149995917834379
2017-01-15,0.005489829249250011,0.8188882392113676,-0.3504536617501917,0.0,-0.11151458374038736,-0.026318578782457802,-0.0551905396149065,-0.02906976744186096,0.0,0.0,0.0,-0.5088358102897993,0.0,0.0,0.0,-0.9467666336046139,0.0,0.0,1.6149995917834379
2017-01-16,0.007629606806461853,0.9262838499574911,-0.3437094781861686,0.0,0.17475313397206982,0.031724374356329355,0.42430378877880415,0.0119760479041926,0.0,0.0,0.0,-0.5088358102897993,0.0,0.0,0.0,-0.9467666336046139,0.0,0.0,1.6149995917834379
